title,url,image,format,year,price,author,rating,publisher,length,ISBN,city/country,categories,quantity
They Both Die at the End,https://www.bookdepository.com/They-Both-Die-at-End-Adam-Silvera/9781471166204,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/4711/9781471166204.jpg,Paperback,2017,17.79,Adam Silvera,4.02,Simon & Schuster Ltd,384,9781471166204,"London, United Kingdom",Children's Fiction,10
Clarity & Connection,https://www.bookdepository.com/Clarity-Connection-Yung-Pueblo/9781524860486,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/5248/9781524860486.jpg,Paperback,2021,25.68,Yung Pueblo,4.43,Andrews McMeel Publishing,256,9781524860486,"Kansas City, United States",Poetry Books,2
1984,https://www.bookdepository.com/1984-George-Orwell/9780141036144,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9780/1410/9780141036144.jpg,Paperback,2008,14.25,George Orwell,4.19,Penguin Books Ltd,336,9780141036144,"London, United Kingdom",Contemporary Fiction,28
Before the Coffee Gets Cold,https://www.bookdepository.com/Before-Coffee-Gets-Cold-Toshikazu-Kawaguchi/9781529029581,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/5290/9781529029581.jpg,Paperback,2019,13.16,Toshikazu Kawaguchi,3.72,Pan Macmillan,224,9781529029581,"London, United Kingdom",Contemporary Fiction,19
Rich Dad Poor Dad,https://www.bookdepository.com/Rich-Dad-Poor-Dad-Robert-T-Kiyosaki/9781612680194,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/6126/9781612680194.jpg,Paperback,2018,13.81,Robert T. Kiyosaki,4.1,Plata Publishing,336,9781612680194,"Scottsdale, United States",Management: Leadership & Motivation,42
Piranesi,https://www.bookdepository.com/Piranesi-Susanna-Clarke/9781526622433,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/5266/9781526622433.jpg,Paperback,2021,15.89,Susanna Clarke,4.29,Bloomsbury Publishing PLC,272,9781526622433,"London, United Kingdom",Contemporary Fiction,43
Berättelser från häxans stuga,https://www.bookdepository.com/Berättelser-från-häxans-stuga-Hanna-Karlzon/9789179857738,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9789/1798/9789179857738.jpg,Hardback,2021,29.01,Hanna Karlzon,4.42,Tukan Förlag,326,9789179857738,,Home,33
Punk 57,https://www.bookdepository.com/Punk-57-Penelope-Douglas/9781539427766,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/5394/9781539427766.jpg,Paperback,2016,24.07,Penelope Douglas,4.05,Createspace Independent Publishing Platform,342,9781539427766,,Romance,4
12 Rules for Life,https://www.bookdepository.com/12-Rules-for-Life-Jordan-B-Peterson/9780141988511,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9780/1419/9780141988511.jpg,Paperback,2019,19.57,Jordan B. Peterson,3.92,Penguin Books Ltd,448,9780141988511,"London, United Kingdom",Social & Political Philosophy,3
The Secret History,https://www.bookdepository.com/Secret-History-Donna-Tartt/9780140167771,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9780/1401/9780140167771.jpg,Paperback,1995,18.78,Donna Tartt,4.11,Penguin Books Ltd,640,9780140167771,"London, United Kingdom",Contemporary Fiction,44
Dear Zoo,https://www.bookdepository.com/Dear-Zoo-Rod-Campbell/9781416947370,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/4169/9781416947370.jpg,Board book,2007,11.48,Rod Campbell,4.28,Simon & Schuster,18,9781416947370,"New York, United States",Baby Books,15
