title,url,image,format,year,price,author,rating,publisher,length,ISBN,city/country,categories,quantity
Harry Potter Box Set: The Complete Collection (Children's Paperback),https://www.bookdepository.com/Harry-Potter-Box-Set-Complete-Collection-Childrens-Paperback-J-K-Rowling/9781408856772,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/4088/9781408856772.jpg,Paperback,2020,107.82,J.K. Rowling,4.72,Bloomsbury Publishing PLC,3872,9781408856772,"London, United Kingdom",Fantasy,36
Circe,https://www.bookdepository.com/Circe-Madeline-Miller/9781408890042,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/4088/9781408890042.jpg,Paperback,2019,17.68,Madeline Miller,4.26,Bloomsbury Publishing PLC,352,9781408890042,"London, United Kingdom",Contemporary Fiction,44
Wonder,https://www.bookdepository.com/Wonder-R-J-Palacio/9780552565974,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9780/5525/9780552565974.jpg,Paperback,2013,15.03,R. J. Palacio,4.4,Penguin Random House Children's UK,320,9780552565974,"London, United Kingdom",Children's Fiction,36
Freedom,https://www.bookdepository.com/Freedom-Nathan-Law/9781787635432,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/7876/9781787635432.jpg,Paperback,2021,21.12,Nathan Law,4,Transworld Publishers Ltd,240,9781787635432,"London, United Kingdom",Politics & Government,12
My Year of Rest and Relaxation,https://www.bookdepository.com/My-Year-Rest-Relaxation-Ottessa-Moshfegh/9781784707422,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/7847/9781784707422.jpg,Paperback,2019,23.49,Ottessa Moshfegh,3.7,Vintage Publishing,304,9781784707422,"London, United Kingdom",Prose: Non-fiction,32
Grandmaster of Demonic Cultivation: Mo Dao Zu Shi (Novel) Vol. 2,https://www.bookdepository.com/Grandmaster-Demonic-Cultivation-Mo-Dao-Zu-Shi-Novel-Vol-2-Mo-Xiang-Tong-Xiu/9781648279201,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/6482/9781648279201.jpg,Paperback,2022,23.99,Mo Xiang Tong Xiu,4.83,"Seven Seas Entertainment, LLC",504,9781648279201,"West Hollywood, United States",Fantasy,12
Joshua Weissman: An Unapologetic Cookbook. #1 NEW YORK TIMES BESTSELLER,https://www.bookdepository.com/Joshua-Weissman-Unapologetic-Cookbook-1-NEW-YORK-TIMES-BESTSELLER-Joshua-Weissman/9781615649983,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/6156/9781615649983.jpg,Hardback,2021,38.95,Joshua Weissman,4.4,DK,264,9781615649983,"London, United States",Reference Works,4
Think and Grow Rich,https://www.bookdepository.com/Think-Grow-Rich-Napoleon-Hill/9781585424337,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/5854/9781585424337.jpg,Paperback,2005,14.87,Napoleon Hill,4.17,Penguin Putnam Inc,320,9781585424337,"Los Angeles, United States",Management Accounting & Bookkeeping,39
The Almanack of Naval Ravikant,https://www.bookdepository.com/Almanack-Naval-Ravikant-Eric-Jorgenson/9781544514215,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/5445/9781544514215.jpg,Paperback,2020,24.24,Eric Jorgenson,4.59,Magrathea Publishing,242,9781544514215,,Advice On Careers & Achieving Success,25
Kingdom of the Wicked,https://www.bookdepository.com/Kingdom-Wicked-Kerri-Maniscalco/9781529350487,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/5293/9781529350487.jpg,Paperback,2021,18.23,Kerri Maniscalco,4.02,Hodder & Stoughton,400,9781529350487,"London, United Kingdom",Fantasy,31
"Good Girl, Bad Blood",https://www.bookdepository.com/Good-Girl-Bad-Blood-Holly-Jackson/9781405297752,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/4052/9781405297752.jpg,Paperback,2020,17.22,Holly Jackson,4.4,HarperCollins Publishers,432,9781405297752,United Kingdom,Vintage Crime,37
Code Name Verity,https://www.bookdepository.com/Code-Name-Verity-Elizabeth-Wein/9781405278423,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/4052/9781405278423.jpg,Paperback,2015,15.0,Elizabeth Wein,4,HarperCollins Publishers,464,9781405278423,United Kingdom,Children's Fiction,17
The Wonderful Things You Will Be,https://www.bookdepository.com/Wonderful-Things-You-Will-Be-Emily-Winfield-Martin/9780385376716,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9780/3853/9780385376716.jpg,Hardback,2015,26.02,Emily Winfield Martin,4.4,Random House USA Inc,36,9780385376716,"New York, United States",Storybooks,27
Breath,https://www.bookdepository.com/Breath-James-Nestor/9780241289129,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9780/2412/9780241289129.jpg,Paperback,2021,17.24,James Nestor,4.15,Penguin Books Ltd,304,9780241289129,"London, United Kingdom",Science: General Issues,34
Gangsta Granny,https://www.bookdepository.com/Gangsta-Granny-David-Walliams/9780007371464,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9780/0073/9780007371464.jpg,Paperback,2013,15.29,David Walliams,4.28,HarperCollins Publishers,306,9780007371464,"London, United Kingdom",Funny Books for Kids,24
How the Grinch Stole Christmas!,https://www.bookdepository.com/How-Grinch-Stole-Christmas-Dr-Seuss/9780007365548,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9780/0073/9780007365548.jpg,Paperback,2010,13.86,Dr. Seuss,4.34,HarperCollins Publishers,64,9780007365548,"London, United Kingdom",Characters,17
"Jujutsu Kaisen, Vol. 5",https://www.bookdepository.com/Jujutsu-Kaisen-Vol-5-Gege-Akutami/9781974714810,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/9747/9781974714810.jpg,Paperback,2020,15.29,Gege Akutami,4.5,"Viz Media, Subs. of Shogakukan Inc",192,9781974714810,"San Francisco, United States",Graphic Novels: Manga,29
Call Me By Your Name,https://www.bookdepository.com/Call-Me-By-Your-Name-Andre-Aciman/9781786495259,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/7864/9781786495259.jpg,Paperback,2017,12.78,Andre Aciman,4.16,Atlantic Books,256,9781786495259,"London, United Kingdom",Contemporary Fiction,25
Invisible Women,https://www.bookdepository.com/Invisible-Women-Caroline-Criado-Perez/9781784706289,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/7847/9781784706289.jpg,Paperback,2020,18.27,Caroline Criado Perez,4.39,Vintage Publishing,432,9781784706289,"London, United Kingdom",Journalistic Style Guides,21
Twittering Birds Never Fly Volume 2 (Yaoi Manga),https://www.bookdepository.com/Twittering-Birds-Never-Fly-2-Yaoi-Manga-Kou-Yoneda/9781569703366,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/5697/9781569703366.jpg,Paperback,2021,21.19,Kou Yoneda,4.38,DIGITAL MANGA,200,9781569703366,United States,Graphic Novels: Manga,40
Six of Crows: Collector's Edition,https://www.bookdepository.com/Six-Crows-Collectors-Edition-Leigh-Bardugo/9781510106284,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/5101/9781510106284.jpg,Hardback,2018,28.55,Leigh Bardugo,4.47,Hachette Children's Group,512,9781510106284,"London, United Kingdom",Children's Fiction,3
The Lion Inside,https://www.bookdepository.com/Lion-Inside-Rachel-Bright/9781408331606,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/4083/9781408331606.jpg,Paperback,2016,20.21,Rachel Bright,4.36,Hachette Children's Group,32,9781408331606,"London, United Kingdom",Storybooks,30
The Shadow and Bone Trilogy Boxed Set,https://www.bookdepository.com/Shadow-Bone-Trilogy-Boxed-Set-Leigh-Bardugo/9781250196231,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/2501/9781250196231.jpg,Paperback,2017,51.53,Leigh Bardugo,4.35,Square Fish,134,9781250196231,"New York, Brazil",Fantasy,17
The Whole-Brain Child,https://www.bookdepository.com/Whole-Brain-Child-Daniel-J-Siegel/9780553386691,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9780/5533/9780553386691.jpg,Paperback,2018,25.69,Daniel J. Siegel,4.24,Random House USA Inc,192,9780553386691,"New York, United States",Child & Developmental Psychology,31
Deep Work,https://www.bookdepository.com/Deep-Work-Cal-Newport/9780349411903,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9780/3494/9780349411903.jpg,Paperback,2016,33.35,Cal Newport,4.17,"Little, Brown Book Group",304,9780349411903,"London, United Kingdom",Business & Management,27
The Man Who Died Twice,https://www.bookdepository.com/Man-Who-Died-Twice-Richard-Osman/9780241425428,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9780/2414/9780241425428.jpg,Hardback,2021,34.04,Richard Osman,4.57,Penguin Books Ltd,432,9780241425428,"London, United Kingdom",Contemporary Fiction,5
Paddington's Suitcase,https://www.bookdepository.com/Paddingtons-Suitcase-Michael-Bond/9780007251940,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9780/0072/9780007251940.jpg,Paperback,2007,26.28,Michael Bond,4.62,HarperCollins Publishers,192,9780007251940,"London, United Kingdom",Picture Books,32
"Good Vibes, Good Life",https://www.bookdepository.com/Good-Vibes-Good-Life-Vex-King/9781788171823,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/7881/9781788171823.jpg,Paperback,2018,25.06,Vex King,4.12,Hay House UK Ltd,304,9781788171823,"London, United Kingdom",Personal Development,40
The Daily Laws,https://www.bookdepository.com/Daily-Laws-Robert-Greene/9781788168533,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/7881/9781788168533.jpg,Hardback,2021,31.95,Robert Greene,4.49,Profile Books Ltd,464,9781788168533,"London, United Kingdom",Philosophy,35
Everyone You Hate is Going to Die,https://www.bookdepository.com/Everyone-You-Hate-is-Going-Die-Daniel-Sloss/9781785152566,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/7851/9781785152566.jpg,Hardback,2021,28.19,Daniel Sloss,4.13,Cornerstone,272,9781785152566,"London, United Kingdom",Other Performing Arts,21
Ugly Love: A Novel,https://www.bookdepository.com/Ugly-Love-Novel-Colleen-Hoover/9781476753188,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/4767/9781476753188.jpg,Paperback,2014,22.2,Colleen Hoover,4.26,Simon & Schuster,336,9781476753188,United States,Contemporary Fiction,29
The Light Seer's Tarot,https://www.bookdepository.com/Light-Seers-Tarot-Chris-Anne/9781401958039,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/4019/9781401958039.jpg,Cards,2019,27.85,Chris-Anne,4.75,Hay House Inc,192,9781401958039,"Carlsbad, United States",Spirituality & Religious Experience,9
"Set Boundaries, Find Peace",https://www.bookdepository.com/Set-Boundaries-Find-Peace-Nedra-Glover-Tawwab/9780349426952,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9780/3494/9780349426952.jpg,Paperback,2021,21.48,Nedra Glover Tawwab,4.41,"Little, Brown Book Group",304,9780349426952,"London, United Kingdom",Psychology,45
Meine Reise durch Europa: Ausmalen und geniessen,https://www.bookdepository.com/Meine-Reise-durch-Europa-Ausmalen-und-geniessen-Rita-Berman/9783404617289,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9783/4046/9783404617289.jpg,Paperback,2021,18.1,Rita Berman,4.68,Gustav Lubbe Verlag GmbH,96,9783404617289,"Bergisch Gladbach, Germany",Art Books,32
"My Hero Academia, Vol. 29",https://www.bookdepository.com/My-Hero-Academia-Vol-29-Kohei-Horikoshi/9781974725106,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/9747/9781974725106.jpg,Paperback,2021,15.29,Kohei Horikoshi,4.71,"Viz Media, Subs. of Shogakukan Inc",184,9781974725106,"San Francisco, United States",Graphic Novels: Manga,28
Guinness World Records 2022,https://www.bookdepository.com/Guinness-World-Records-2022-Guinness-World-Records/9781913484118,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/9134/9781913484118.jpg,Hardback,2021,42.35,Guinness World Records,4.29,Guinness World Records Limited,256,9781913484118,United Kingdom,General Encyclopaedias,50
The Little Prince,https://www.bookdepository.com/Little-Prince-Antoine-de-Saint-Exupery/9781853261589,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/8532/9781853261589.jpg,Paperback,1998,6.5,Antoine de Saint-Exupery,4.31,Wordsworth Editions Ltd,112,9781853261589,"Herts, United Kingdom",Children's Fiction,36
The Courage To Be Disliked,https://www.bookdepository.com/Courage-Be-Disliked-Ichiro-Kishimi/9781760630737,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/7606/9781760630737.jpg,Paperback,2019,16.28,Ichiro Kishimi,4.06,Allen & Unwin,288,9781760630737,"St Leonards, Australia",Philosophy,43
Ten Little Fingers and Ten Little Toes,https://www.bookdepository.com/Ten-Little-Fingers-Ten-Little-Toes-Mem-Fox/9781406331264,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/4063/9781406331264.jpg,Board book,2011,14.82,Mem Fox,4.24,Walker Books Ltd,40,9781406331264,"London, United Kingdom",Storybooks,34
Heaven Official's Blessing: Tian Guan Ci Fu (Novel) Vol. 3,https://www.bookdepository.com/Heaven-Officials-Blessing-Tian-Guan-Ci-Fu-Novel-Vol-3-Mo-Xiang-Tong-Xiu/9781638582106,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/6385/9781638582106.jpg,Paperback,2022,23.99,Mo Xiang Tong Xiu,4.94,Seven Seas,544,9781638582106,United States,Fantasy,2
I Want My Hat Back,https://www.bookdepository.com/I-Want-My-Hat-Back-Jon-Klassen/9781406338539,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/4063/9781406338539.jpg,Paperback,2012,13.37,Jon Klassen,4.29,Walker Books Ltd,40,9781406338539,"London, United Kingdom",Picture Books,8
What Happened to You?,https://www.bookdepository.com/What-Happened-You-Oprah-Winfrey/9781529068467,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/5290/9781529068467.jpg,Hardback,2021,28.38,Oprah Winfrey,4.52,Pan Macmillan,304,9781529068467,"London, United Kingdom",Child & Developmental Psychology,3
It Ends with Us,https://www.bookdepository.com/It-Ends-with-Us-Colleen-Hoover/9781501110368,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/5011/9781501110368.jpg,Paperback,2016,21.73,Colleen Hoover,4.42,Atria Books,384,9781501110368,,Contemporary Fiction,45
Sparkly Christmas Sticker Book,https://www.bookdepository.com/Sparkly-Christmas-Sticker-Book-Fiona-Patchett/9781474953740,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/4749/9781474953740.jpg,Paperback,2019,11.74,Fiona Patchett,4,Usborne Publishing Ltd,32,9781474953740,"London, United Kingdom",Activity Books,4
Oi Frog!,https://www.bookdepository.com/Oi-Frog-Kes-Gray/9781444910865,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/4449/9781444910865.jpg,Paperback,2015,13.22,Kes Gray,4.27,Hachette Children's Group,32,9781444910865,"London, United Kingdom",Picture Books,25
Look Inside Your Body,https://www.bookdepository.com/Look-Inside-Your-Body-Louie-Stowell/9781409549475,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/4095/9781409549475.jpg,Board book,2021,27.06,Louie Stowell,4.6,Usborne Publishing Ltd,14,9781409549475,"London, United Kingdom",Picture Books,3
Unnatural Causes,https://www.bookdepository.com/Unnatural-Causes-Dr-Richard-Shepherd/9781405923538,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/4059/9781405923538.jpg,Paperback,2019,21.69,Dr Richard Shepherd,4.34,Penguin Books Ltd,464,9781405923538,"London, United Kingdom","Biography: Science, Technology & Engineering",31
A Good Girl's Guide to Murder,https://www.bookdepository.com/Good-Girls-Guide-Murder-Holly-Jackson/9781405293181,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/4052/9781405293181.jpg,Paperback,2019,17.43,Holly Jackson,4.36,HarperCollins Publishers,448,9781405293181,United Kingdom,Vintage Crime,3
The Korean Vegan Cookbook,https://www.bookdepository.com/Korean-Vegan-Cookbook-Joanna-Lee-Molinaro/9780593084274,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9780/5930/9780593084274.jpg,Hardback,2021,56.97,Joanna Lee Molinaro,4.71,Penguin Putnam Inc,336,9780593084274,"New York, United States",Food & Drink,39
Almond,https://www.bookdepository.com/Almond-Won-pyung-Sohn/9780062961389,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9780/0629/9780062961389.jpg,Paperback,2021,23.61,Won-pyung Sohn,4.22,HarperCollins Publishers Inc,272,9780062961389,"New York, United States",Contemporary Fiction,41
"Solo Leveling, Vol. 3 (Manga)",https://www.bookdepository.com/Solo-Leveling-Vol-3-Manga-Chugong/9781975336516,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/9753/9781975336516.jpg,Paperback,2021,30.48,Chugong,4.71,"Little, Brown & Company",192,9781975336516,"New York, United States",Literature: History & Criticism,49
"One-Punch Man, Vol. 23",https://www.bookdepository.com/One-Punch-Man-Vol-23-ONE/9781974725120,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/9747/9781974725120.jpg,Paperback,2021,15.29,ONE,4.23,"Viz Media, Subs. of Shogakukan Inc",232,9781974725120,"San Francisco, United States",Graphic Novels: Manga,45
Don't Let the Pigeon Drive the Bus!,https://www.bookdepository.com/Dont-Let-Pigeon-Drive-Bus-Mo-Willems/9781844285136,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/8442/9781844285136.jpg,Paperback,2011,12.31,Mo Willems,4.29,Walker Books Ltd,40,9781844285136,"London, United Kingdom",Picture Books,24
Ikigai,https://www.bookdepository.com/Ikigai-Hector-Garcia/9781786330895,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/7863/9781786330895.jpg,Hardback,2017,21.47,Hector Garcia,3.71,Cornerstone,208,9781786330895,"London, United Kingdom",Oriental & Indian Philosophy,31
The Storyteller,https://www.bookdepository.com/Storyteller-Dave-Grohl/9781760859978,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/7608/9781760859978.jpg,Hardback,2021,52.82,Dave Grohl,4.63,Simon & Schuster Australia,384,9781760859978,"East Roseville, Australia",Music: Styles & Genres,32
Enid Blyton's Christmas Stories,https://www.bookdepository.com/Enid-Blytons-Christmas-Stories-Enid-Blyton/9781444922578,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/4449/9781444922578.jpg,Paperback,2014,12.82,Enid Blyton,3.94,Hachette Children's Group,352,9781444922578,"London, United Kingdom",Children's Fiction,27
The Girl Who Never Made Mistakes,https://www.bookdepository.com/Girl-Who-Never-Made-Mistakes-Gary-Rubinstein/9781402255441,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/4022/9781402255441.jpg,Hardback,2011,25.27,Gary Rubinstein,4.1,"Sourcebooks, Inc",32,9781402255441,"Naperville, United States",Children's Fiction,19
Goodnight Moon,https://www.bookdepository.com/Goodnight-Moon-Margaret-Wise-Brown/9780694003617,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9780/6940/9780694003617.jpg,Board book,2011,13.35,Margaret Wise Brown,4.28,HarperCollins Publishers Inc,34,9780694003617,"New York, United States",Baby Books,8
Everything I Never Told You,https://www.bookdepository.com/Everything-I-Never-Told-You-Celeste-Ng/9780349134284,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9780/3491/9780349134284.jpg,Paperback,2014,14.07,Celeste Ng,3.86,"Little, Brown Book Group",320,9780349134284,"London, United Kingdom",Contemporary Fiction,48
"Spy x Family, Vol. 6",https://www.bookdepository.com/Spy-x-Family-Vol-6-Tatsuya-Endo/9781974725137,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/9747/9781974725137.jpg,Paperback,2021,15.29,Tatsuya Endo,4.46,"Viz Media, Subs. of Shogakukan Inc",200,9781974725137,"San Francisco, United States",Graphic Novels: Manga,43
The 48 Laws Of Power,https://www.bookdepository.com/48-Laws-Power-Robert-Greene/9781861972781,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/8619/9781861972781.jpg,Paperback,2000,28.88,Robert Greene,4.12,Profile Books Ltd,480,9781861972781,"London, United Kingdom",Society & Culture: General,9
Never Split the Difference,https://www.bookdepository.com/Never-Split-Difference-Chris-Voss/9781847941497,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/8479/9781847941497.jpg,Paperback,2017,14.24,Chris Voss,4.37,Cornerstone,288,9781847941497,"London, United Kingdom",Macroeconomics,17
The Proof is in the Plants,https://www.bookdepository.com/Proof-is-Plants-Simon-Hill/9781760890049,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/7608/9781760890049.jpg,Paperback,2021,44.36,Simon Hill,4.7,Penguin Random House Australia,416,9781760890049,Australia,Dietetics & Nutrition,1
Shuggie Bain,https://www.bookdepository.com/Shuggie-Bain-Douglas-Stuart/9781529019292,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/5290/9781529019292.jpg,Paperback,2021,16.84,Douglas Stuart,4.35,Pan Macmillan,448,9781529019292,"London, United Kingdom",Contemporary Fiction,11
Harry Potter - A Magical Year,https://www.bookdepository.com/Harry-Potter-Magical-Year-J-K-Rowling/9781526640871,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/5266/9781526640871.jpg,Hardback,2021,42.82,J. K. Rowling,4.53,Bloomsbury Publishing PLC,240,9781526640871,"London, United Kingdom",Contemporary Fiction,41
The Reverse Coloring Book (R),https://www.bookdepository.com/Reverse-Coloring-Book-R-Kendra-Norton/9781523515271,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/5235/9781523515271.jpg,Paperback,2021,34.62,Kendra Norton,4,Workman Publishing,104,9781523515271,"New York, United States",Art Books,8
Berserk Deluxe Volume 3,https://www.bookdepository.com/Berserk-Deluxe-3-Kentaro-Miura/9781506712000,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/5067/9781506712000.jpg,Hardback,2019,89.74,Kentaro Miura,4.77,"Dark Horse Comics,U.S.",704,9781506712000,"Milwaukie, United States",Graphic Novels: Manga,11
Twinkly Twinkly Christmas Tree,https://www.bookdepository.com/Twinkly-Twinkly-Christmas-Tree-Sam-Taplin/9781474952606,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/4749/9781474952606.jpg,Board book,2018,25.88,Sam Taplin,4.2,Usborne Publishing Ltd,10,9781474952606,"London, United Kingdom",Baby Books,11
Look Inside Our World,https://www.bookdepository.com/Look-Inside-Our-World-Emily-Bone/9781409563945,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/4095/9781409563945.jpg,Board book,2014,21.68,Emily Bone,4.56,Usborne Publishing Ltd,14,9781409563945,"London, United Kingdom",Geography Books,39
Harry Potter and the Philosopher's Stone,https://www.bookdepository.com/Harry-Potter-Philosophers-Stone-J-K-Rowling/9781408855652,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/4088/9781408855652.jpg,Paperback,2014,17.37,J.K. Rowling,4.47,Bloomsbury Publishing PLC,352,9781408855652,"London, United Kingdom",Fantasy,15
Peppa Pig: Little Library,https://www.bookdepository.com/Peppa-Pig-Little-Library-Peppa-Pig/9781409303183,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/4093/9781409303183.jpg,Board book,2011,13.36,Peppa Pig,4.2,Penguin Random House Children's UK,60,9781409303183,"London, United Kingdom",Characters,12
There Was an Old Lady Who Swallowed a Fly,https://www.bookdepository.com/There-Was-Old-Lady-Who-Swallowed-Fly/9780859537278,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9780/8595/9780859537278.jpg,Board book,2000,10.8,Pam Adams,4.22,Child's Play International Ltd,14,9780859537278,"Swindon, United Kingdom",Baby Books,35
Numbers Don't Lie,https://www.bookdepository.com/Numbers-Dont-Lie-Vaclav-Smil/9780241989692,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9780/2419/9780241989692.jpg,Paperback,2021,17.81,Vaclav Smil,3.9,Penguin Books Ltd,384,9780241989692,"London, United Kingdom",General & World History,3
Room on the Broom,https://www.bookdepository.com/Room-on-Broom-Julia-Donaldson/9780142501122,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9780/1425/9780142501122.jpg,Paperback,2003,14.17,Julia Donaldson,4.39,Penguin Random House Australia,32,9780142501122,"Hawthorn, Australia",Storybooks,9
Surrounded by Idiots,https://www.bookdepository.com/Surrounded-by-Idiots-Thomas-Erikson/9781785042188,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/7850/9781785042188.jpg,Paperback,2019,17.18,Thomas Erikson,3.35,Ebury Publishing,304,9781785042188,"London, United Kingdom",Psychology,2
The Incal,https://www.bookdepository.com/Incal-Alejandro-Jodorowsky/9781643377803,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/6433/9781643377803.jpg,Paperback,2020,41.69,Alejandro Jodorowsky,4.17,"Humanoids, Inc",316,9781643377803,United States,Science Fiction,42
Berserk Deluxe Volume 1,https://www.bookdepository.com/Berserk-Deluxe-1-Kentaro-Miura/9781506711980,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/5067/9781506711980.jpg,Hardback,2019,94.47,Kentaro Miura,4.55,"Dark Horse Comics,U.S.",696,9781506711980,"Milwaukie, United States",Graphic Novels: Manga,7
A Man Called Ove,https://www.bookdepository.com/Man-Called-Ove-Fredrik-Backman/9781444775815,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/4447/9781444775815.jpg,Paperback,2015,20.49,Fredrik Backman,4.35,Hodder & Stoughton,320,9781444775815,"London, United Kingdom",Contemporary Fiction,13
Look Inside Space,https://www.bookdepository.com/Look-Inside-Space-Rob-Lloyd-Jones/9781409523383,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/4095/9781409523383.jpg,Board book,2012,19.01,Rob Lloyd Jones,4.5,Usborne Publishing Ltd,14,9781409523383,"London, United Kingdom",Teaching Resources & Education,9
Ten Delicious Teachers,https://www.bookdepository.com/Ten-Delicious-Teachers-Ross-Montgomery/9781406389821,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/4063/9781406389821.jpg,Hardback,2021,25.65,Ross Montgomery,4.4,Walker Books Ltd,32,9781406389821,"London, United Kingdom",Storybooks,36
Mythos,https://www.bookdepository.com/Mythos-Stephen-Fry/9781405934138,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/4059/9781405934138.jpg,Paperback,2018,18.81,Stephen Fry,4.26,Penguin Books Ltd,464,9781405934138,"London, United Kingdom",Poetry Books,2
